,Bäckerei,URL,Gemeinde,Kanton
15,Bäckerei - Konditorei Leuenberger,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.148.259&lang=de,Zollikofen,BE - Bern
16,Bäckerei - Konditorei Maier GmbH,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-200.539.725&lang=de,Böttstein,AG - Aargau
17,Bäckerei - Konditorei Märchy GmbH,https://gl.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.728.428&lang=de,Glarus Nord,GL - Glarus
18,Bäckerei - Konditorei Not Clalüna,https://gr.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.695.188&lang=de,Scuol,GR - Graubünden
19,Bäckerei - Konditorei Unternährer & Co,https://so.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-112.494.017&lang=de,Kappel (SO),SO - Solothurn
20,Bäckerei / Konditorei Ganz,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-204.892.391&lang=de,Langenthal,BE - Bern
21,Bäckerei / Konditorei Leutwyler GmbH,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-346.380.826&lang=de,Zofingen,AG - Aargau
22,Bäckerei / Konditorei Rüegger GmbH,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.022.067&lang=de,Langnau im Emmental,BE - Bern
23,Bäckerei A. Mathieu-Zumstein AG,https://vo.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.756.488&lang=de,Leuk,VS - Brig (Oberwallis)
24,Bäckerei Abderhalden,https://ar.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.351.748&lang=de,Herisau,AR - Appenzell A. Rh.
25,Bäckerei Abderhalden AG Wattwil,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.254.772&lang=de,Wattwil,SG - St. Gallen
26,Bäckerei Aebersold GmbH,https://adm.appls.fr.ch/hrcmatic/hrcintapp/externalCompanyReport.action?companyOfrcId13=CH-217-0540059-8&ofrcLanguage=4,Murten,FR - Fribourg
27,Bäckerei Allenspach GmbH,https://tg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-265.077.575&lang=de,Fischingen,TG - Thurgau
28,Bäckerei alpascha GmbH,https://bl.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-198.680.660&lang=de,Münchenstein,BL - Basel-Landschaft
29,Bäckerei Amrein AG,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-264.368.722&lang=de,Büron,LU - Luzern
30,Bäckerei Konditorei Hackebeil,https://tg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.965.011&lang=de,Arbon,TG - Thurgau
31,Bäckerei Konditorei Hess AG in Liquidation,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.811.029&lang=de,Kaltbrunn,SG - St. Gallen
32,Bäckerei Konditorei Hunger AG,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.278.867&lang=de,Triengen,LU - Luzern
33,Bäckerei Konditorei Hürlimann AG,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-111.754.799&lang=de,Zürich,ZH - Zürich
34,Bäckerei Konditorei Lebensmittel Urs Kunz,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.283.182&lang=de,Luthern,LU - Luzern
35,Bäckerei Konditorei Mohler Inhaber R. Abplanalp,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-350.873.629&lang=de,Unterseen,BE - Bern
36,Bäckerei Konditorei Odermatt GmbH,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-271.876.828&lang=de,Luzern,LU - Luzern
37,Bäckerei Konditorei P. Scheiwiller,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-112.017.433&lang=de,Waldkirch,SG - St. Gallen
38,Bäckerei Konditorei Schenk,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-449.372.864&lang=de,Röthenbach im Emmental,BE - Bern
39,Bäckerei Konditorei Siegrist GmbH,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.286.631&lang=de,Sennwald,SG - St. Gallen
40,Bäckerei Konditorei Singaraja Sivaji Philip Manohara,https://bs.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.987.130&lang=de,Basel,BS - Basel-Stadt
41,Bäckerei Konditorei Staudenmann GmbH,https://so.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-318.918.809&lang=de,Biberist,SO - Solothurn
42,Bäckerei Konditorei Tanner,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-303.070.085&lang=de,Zürich,ZH - Zürich
43,Bäckerei Konditorei Teixeira GmbH,https://tg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-261.654.166&lang=de,Frauenfeld,TG - Thurgau
44,Bäckerei Konditorei Zeller AG,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-381.184.891&lang=de,Rüthi (SG),SG - St. Gallen
45,Bäckerei Krähenbühl GmbH,https://adm.appls.fr.ch/hrcmatic/hrcintapp/externalCompanyReport.action?companyOfrcId13=CH-217-3532988-8&ofrcLanguage=4,Kerzers,FR - Fribourg
46,Bäckerei Kronig Charly,https://vo.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-106.785.541&lang=de,Mörel-Filet,VS - Brig (Oberwallis)
47,Bäckerei Krummenacher AG,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-251.235.804&lang=de,Grosswangen,LU - Luzern
48,Bäckerei Kunz GmbH,https://tg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-492.709.723&lang=de,Altnau,TG - Thurgau
49,Bäckerei Künzler GmbH,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.828.515&lang=de,St. Margrethen,SG - St. Gallen
50,Bäckerei La Panetteria GmbH,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-421.307.156&lang=de,St. Gallen,SG - St. Gallen
51,Bäckerei Lanz AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-221.328.826&lang=de,Bern,BE - Bern
52,Bäckerei Laube AG,https://so.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-112.999.866&lang=de,Derendingen,SO - Solothurn
53,Bäckerei Lötscher AG,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.228.119&lang=de,Escholzmatt-Marbach,LU - Luzern
54,Bäckerei M. Leuenberger,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-110.623.120&lang=de,Burgdorf,BE - Bern
55,Bäckerei Maria del Carmen Nieto GmbH,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.269.514&lang=de,Zürich,ZH - Zürich
56,Bäckerei Markus Ryser,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.226.267&lang=de,Hilterfingen,BE - Bern
57,Bäckerei Marty Conditorei GmbH,https://sz.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-112.340.495&lang=de,Wollerau,SZ - Schwyz
58,Bäckerei Meyer GmbH,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-102.477.419&lang=de,Bern,BE - Bern
59,Bäckerei Michel GmbH,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-114.086.801&lang=de,Adelboden,BE - Bern
60,Bäckerei Mödinger GmbH,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-113.157.019&lang=de,Bern,BE - Bern
61,Bäckerei Montero,https://adm.appls.fr.ch/hrcmatic/hrcintapp/externalCompanyReport.action?companyOfrcId13=CH-217-0611241-4&ofrcLanguage=4,Wünnewil-Flamatt,FR - Fribourg
62,Bäckerei Moor gmbh,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-468.291.953&lang=de,Niederweningen,ZH - Zürich
63,Bäckerei Moser,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-116.209.109&lang=de,Heimberg,BE - Bern
64,Bäckerei Motzer AG,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-115.797.336&lang=de,Thal,SG - St. Gallen
65,Bäckerei Müller AG,https://so.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-267.165.977&lang=de,Solothurn,SO - Solothurn
66,"Bäckerei Mürner, Inhaber Sonja + Rolf Hari-Mürner",https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.189.146&lang=de,Reichenbach im Kandertal,BE - Bern
67,Bäckerei Nellie AG,https://ar.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-148.400.597&lang=de,Heiden,AR - Appenzell A. Rh.
68,Bäckerei Neuenschwander AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-158.768.395&lang=de,Schangnau,BE - Bern
69,Bäckerei Neuhof GmbH,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-476.114.477&lang=de,Schlieren,ZH - Zürich
70,Bäckerei Nussbaumer AG,https://zg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-106.013.220&lang=de,Cham,ZG - Zug
71,Bäckerei Nyffenegger GmbH,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-115.564.720&lang=de,Reiden,LU - Luzern
72,Bäckerei Oehler,https://bl.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-114.487.212&lang=de,Dittingen,BL - Basel-Landschaft
73,Bäckerei Patric Inniger,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-344.077.848&lang=de,Thunstetten,BE - Bern
74,Bäckerei Pfiffner AG,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.256.759&lang=de,Mels,SG - St. Gallen
75,Bäckerei Plüss im Limmatfeld GmbH,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-352.859.132&lang=de,Dietikon,ZH - Zürich
76,Bäckerei R. Sutter,https://bl.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-114.776.656&lang=de,Sissach,BL - Basel-Landschaft
77,Bäckerei Rebsamen GmbH,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-495.977.444&lang=de,Ferenbalm,BE - Bern
78,Bäckerei Rigazzi GmbH,https://tg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-458.438.338&lang=de,Gachnang,TG - Thurgau
79,Bäckerei Ritter,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.996.182&lang=de,Ins,BE - Bern
80,Bäckerei Röösli,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-470.329.565&lang=de,Oberentfelden,AG - Aargau
81,Bäckerei Ruckli AG,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-150.447.450&lang=de,Sarmenstorf,AG - Aargau
82,Bäckerei Ruppeiner AG,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-183.998.797&lang=de,St. Gallen,SG - St. Gallen
83,Bäckerei Schäfli Roswita Stolz,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-285.849.594&lang=de,Niederbüren,SG - St. Gallen
84,Bäckerei Schär,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.790.686&lang=de,Ursenbach,BE - Bern
85,Bäckerei Schnüriger GmbH,https://sz.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-112.161.308&lang=de,Rothenthurm,SZ - Schwyz
86,Bäckerei Schwager GmbH,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.655.674&lang=de,Bremgarten (AG),AG - Aargau
87,Bäckerei Schwegler GmbH,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.804.537&lang=de,Willisau,LU - Luzern
88,Bäckerei Schwyter AG,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.088.421&lang=de,St. Gallen,SG - St. Gallen
89,Bäckerei Siegfried,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-103.415.409&lang=de,Zäziwil,BE - Bern
90,Bäckerei Speck,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-113.973.800&lang=de,Oberkulm,AG - Aargau
91,Bäckerei Spitzbueb AG,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-112.763.476&lang=de,Baden,AG - Aargau
92,Bäckerei Stäubli AG,https://gr.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.767.693&lang=de,Haldenstein,GR - Graubünden
93,"Bäckerei Stein, P. Riedwyl",https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.692.433&lang=de,Schangnau,BE - Bern
94,Bäckerei Steinegger AG,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-114.324.159&lang=de,Meierskappel,LU - Luzern
95,Bäckerei Steiner,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.797.211&lang=de,Riggisberg,BE - Bern
96,Bäckerei Stöckli GmbH,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-115.771.992&lang=de,Menznau,LU - Luzern
97,Bäckerei Suter AG,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-461.112.618&lang=de,Schötz,LU - Luzern
98,Bäckerei Taverna,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.066.472&lang=de,Uzwil,SG - St. Gallen
99,Bäckerei Tea Room Bieri AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-363.238.951&lang=de,Niederbipp,BE - Bern
100,Bäckerei Tea-Room Burg AG,https://adm.appls.fr.ch/hrcmatic/hrcintapp/externalCompanyReport.action?companyOfrcId13=CH-217-3563298-9&ofrcLanguage=4,Rechthalten,FR - Fribourg
101,Bäckerei Thalmann GmbH,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-368.973.791&lang=de,Hergiswil bei Willisau,LU - Luzern
102,Bäckerei Tokay GmbH,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.386.025&lang=de,Winterthur,ZH - Zürich
103,Bäckerei und Restaurant Linde AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.795.123&lang=de,Orpund,BE - Bern
104,Bäckerei Wagner AG,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-175.263.937&lang=de,Oberuzwil,SG - St. Gallen
105,Bäckerei Wüthrich AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.193.142&lang=de,Grindelwald,BE - Bern
106,Bäckerei Ziehler Konditorei,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.283.549&lang=de,Nesslau,SG - St. Gallen
107,Bäckerei Zihlmann AG,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-302.621.640&lang=de,Schüpfheim,LU - Luzern
108,Bäckerei Zosso,https://adm.appls.fr.ch/hrcmatic/hrcintapp/externalCompanyReport.action?companyOfrcId13=CH-217-3557138-6&ofrcLanguage=4,Plaffeien,FR - Fribourg
109,"Bäckerei zum Engel, Keller",https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.529.779&lang=de,Au (SG),SG - St. Gallen
110,Bäckerei zur Kettenbrücke M. Leutwiler,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.083.298&lang=de,Aarau,AG - Aargau
111,"Bäckerei, Konditorei Fahrni",https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.180.240&lang=de,Dotzigen,BE - Bern
112,"Bäckerei, Konditorei Winter, Ilic Milovan",https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-189.036.773&lang=de,Adliswil,ZH - Zürich
113,"Bäckerei, Konditorei, Café ""Zum Steinenen Trauben"" Walz",https://sh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-106.833.950&lang=de,Stein am Rhein,SH - Schaffhausen
114,"Bäckerei, Konditorei, Confiserie Mock",https://bs.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-110.597.445&lang=de,Basel,BS - Basel-Stadt
115,"Bäckerei, Konditorei, Lebensmittel E. Fahrni",https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.384.814&lang=de,Sigriswil,BE - Bern
116,"Bäckerei, Tea-Room und Garni Imseng",https://vo.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-106.986.387&lang=de,Saas-Fee,VS - Brig (Oberwallis)
117,Bäckerei-Café Betschart,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-115.764.041&lang=de,Bonstetten,ZH - Zürich
118,Bäckerei-Café Kohler AG,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-214.578.660&lang=de,Hunzenschwil,AG - Aargau
119,Bäckerei-Café Meyer AG,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-112.409.371&lang=de,Hitzkirch,LU - Luzern
120,Bäckerei-Café Willy Egli AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-112.806.720&lang=de,Thun,BE - Bern
121,Bäckerei-Café Zulauf AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-106.317.341&lang=de,Roggwil (BE),BE - Bern
122,Bäckerei-Conditorei Fleischli AG,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-432.152.024&lang=de,Niederglatt,ZH - Zürich
123,Bäckerei-Conditorei Hinder,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.288.423&lang=de,Nesslau,SG - St. Gallen
124,Bäckerei-Conditorei Köfler,https://gr.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.526.769&lang=de,Andeer,GR - Graubünden
125,Bäckerei-Conditorei W. Moosberger,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.778.797&lang=de,Möriken-Wildegg,AG - Aargau
126,Bäckerei-Confiserie Koch AG,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-161.261.085&lang=de,Hochdorf,LU - Luzern
127,Bäckerei-Confiserie Richner AG,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-289.307.116&lang=de,Veltheim (AG),AG - Aargau
128,Bäckerei-Confiserie Widmer,https://gr.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-427.352.818&lang=de,Arosa,GR - Graubünden
129,Bäckerei-Confiserie Woodtli & Weber,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-110.497.915&lang=de,Kirchberg (BE),BE - Bern
130,Bäckerei Andreas Fend-Müller,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.221.985&lang=de,Saanen,BE - Bern
131,Bäckerei Anklin/Stebler GmbH,https://bl.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-112.676.819&lang=de,Zwingen,BL - Basel-Landschaft
132,Bäckerei Attenhofer AG,https://gr.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-101.699.207&lang=de,Thusis,GR - Graubünden
133,Bäckerei Backstein GmbH,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-135.614.628&lang=de,Niederglatt,ZH - Zürich
134,Bäckerei Baggenstoss GmbH,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-459.169.218&lang=de,Richterswil,ZH - Zürich
135,Bäckerei Bähler GmbH,https://sz.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-114.940.944&lang=de,Lachen,SZ - Schwyz
136,Bäckerei Baumgartner,https://zg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.269.230&lang=de,Zug,ZG - Zug
137,Bäckerei Beeler GmbH in Liquidation,https://gl.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-106.848.176&lang=de,Glarus,GL - Glarus
138,Bäckerei Bieri KlG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-473.509.833&lang=de,Schangnau,BE - Bern
139,Bäckerei Bisegger GmbH,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-112.014.015&lang=de,Wil (SG),SG - St. Gallen
140,Bäckerei-Confiserie-Café Kuhnen GmbH,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.208.476&lang=de,Lenk,BE - Bern
141,Bäckerei-Konditorei & Café Pascal Dobler,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-423.821.599&lang=de,Richterswil,ZH - Zürich
142,Bäckerei-Konditorei & Café Vogel GmbH,https://sz.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-113.466.242&lang=de,Küssnacht (SZ),SZ - Schwyz
143,Bäckerei-Konditorei A. Zuber AG,https://vo.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-332.997.417&lang=de,Stalden (VS),VS - Brig (Oberwallis)
144,Bäckerei-Konditorei Aebersold-Baumann,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.229.857&lang=de,Unterlangenegg,BE - Bern
145,Bäckerei-Konditorei Aegerter AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-286.022.924&lang=de,Köniz,BE - Bern
146,Bäckerei-Konditorei Alt,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.776.284&lang=de,Endingen,AG - Aargau
147,Bäckerei-Konditorei B. Kindler + B. Hiltbrunner,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.408.656&lang=de,Konolfingen,BE - Bern
148,"Bäckerei-Konditorei Beck Beck, Inh. H. Gmür",https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-106.057.387&lang=de,St. Gallen,SG - St. Gallen
149,Bäckerei-Konditorei Bergamin,https://nw.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.741.067&lang=de,Buochs,NW - Nidwalden
150,Bäckerei-Konditorei Bieri Alfred,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.986.692&lang=de,Erlenbach im Simmental,BE - Bern
151,Bäckerei-Konditorei Bolliger,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-112.752.219&lang=de,Hinwil,ZH - Zürich
152,Bäckerei-Konditorei Borer GmbH,https://so.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-388.691.628&lang=de,Dulliken,SO - Solothurn
153,Bäckerei-Konditorei Börner,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-110.352.599&lang=de,Winterthur,ZH - Zürich
154,Bäckerei-Konditorei Bruno und Beatrice Reinle,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.192.119&lang=de,Interlaken,BE - Bern
155,Bäckerei-Konditorei Bumann AG,https://vo.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-266.271.430&lang=de,Saas-Fee,VS - Brig (Oberwallis)
156,Bäckerei-Konditorei Bürgin GmbH,https://tg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-355.236.938&lang=de,Kreuzlingen,TG - Thurgau
157,Bäckerei-Konditorei Bütler,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-115.969.749&lang=de,Muri (AG),AG - Aargau
158,Bäckerei-Konditorei Café La Bohème GmbH,https://vo.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.502.610&lang=de,Leukerbad,VS - Brig (Oberwallis)
159,Bäckerei-Konditorei Café Schweizer & Co.,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-310.996.906&lang=de,Wildhaus-Alt St. Johann,SG - St. Gallen
160,Bäckerei-Konditorei Ch. + I. Muralt,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.751.657&lang=de,Ostermundigen,BE - Bern
161,Bäckerei-Konditorei Daniel Brunner,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-112.128.512&lang=de,Uster,ZH - Zürich
162,Bäckerei-Konditorei Dänzer GmbH,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.591.342&lang=de,Ostermundigen,BE - Bern
